Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,0.9099999999999999,symmetric,0.2998521131031908
75% Corpus,7,symmetric,0.01,0.29995790091679514
75% Corpus,7,symmetric,0.31,0.3734489169702413
75% Corpus,7,symmetric,0.61,0.3838569647007673
75% Corpus,7,symmetric,0.9099999999999999,0.3868426109460174
75% Corpus,7,symmetric,symmetric,0.3043154500522803
75% Corpus,7,asymmetric,0.01,0.3280977857003054
75% Corpus,7,asymmetric,0.31,0.39430137500947665
75% Corpus,7,asymmetric,0.61,0.4299258756460276
75% Corpus,7,asymmetric,0.9099999999999999,0.42342069576744507
75% Corpus,7,asymmetric,symmetric,0.3642590991646067
75% Corpus,8,0.01,0.01,0.31339225953888705
75% Corpus,8,0.01,0.31,0.3549586117284034
75% Corpus,8,0.01,0.61,0.4085467447412246
75% Corpus,8,0.01,0.9099999999999999,0.3889642421487952
75% Corpus,8,0.01,symmetric,0.3185142064149629
75% Corpus,8,0.31,0.01,0.3257847065899934
75% Corpus,8,0.31,0.31,0.32817192123271316
75% Corpus,8,0.31,0.61,0.37882902152644476
75% Corpus,8,0.31,0.9099999999999999,0.40114945068246466
75% Corpus,8,0.31,symmetric,0.3244028933228418
75% Corpus,8,0.61,0.01,0.310120215499406
75% Corpus,8,0.61,0.31,0.3034627996349957
75% Corpus,8,0.61,0.61,0.36273717030990893
75% Corpus,8,0.61,0.9099999999999999,0.40104862664181073
75% Corpus,8,0.61,symmetric,0.35575605714346187
75% Corpus,8,0.9099999999999999,0.01,0.2979671113361001
75% Corpus,8,0.9099999999999999,0.31,0.28427099691860724
75% Corpus,8,0.9099999999999999,0.61,0.35705193748950276
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.37134311845449625
75% Corpus,8,0.9099999999999999,symmetric,0.312361027852004
75% Corpus,8,symmetric,0.01,0.3214389957691861
75% Corpus,8,symmetric,0.31,0.3070459066745252
75% Corpus,8,symmetric,0.61,0.4521118116495159
75% Corpus,8,symmetric,0.9099999999999999,0.41225180871139866
75% Corpus,8,symmetric,symmetric,0.3433807890834377
75% Corpus,8,asymmetric,0.01,0.3350825457701913
75% Corpus,8,asymmetric,0.31,0.4081670899525869
75% Corpus,8,asymmetric,0.61,0.41819295215587354
75% Corpus,8,asymmetric,0.9099999999999999,0.36947749214920367
75% Corpus,8,asymmetric,symmetric,0.37812690518985337
75% Corpus,9,0.01,0.01,0.3060997309426143
75% Corpus,9,0.01,0.31,0.330312015996386
75% Corpus,9,0.01,0.61,0.4282297427547127
75% Corpus,9,0.01,0.9099999999999999,0.35392966706938006
75% Corpus,9,0.01,symmetric,0.3233374289750339
75% Corpus,9,0.31,0.01,0.32945416387813514
75% Corpus,9,0.31,0.31,0.3589218055076141
75% Corpus,9,0.31,0.61,0.38412983289756836
75% Corpus,9,0.31,0.9099999999999999,0.475221824420764
75% Corpus,9,0.31,symmetric,0.3340013879754752
75% Corpus,9,0.61,0.01,0.33111330152171425
75% Corpus,9,0.61,0.31,0.3462708060838107
75% Corpus,9,0.61,0.61,0.3248770269945346
75% Corpus,9,0.61,0.9099999999999999,0.40360316932401047
75% Corpus,9,0.61,symmetric,0.3379456736912878
75% Corpus,9,0.9099999999999999,0.01,0.32211905523053597
75% Corpus,9,0.9099999999999999,0.31,0.3549228822979164
75% Corpus,9,0.9099999999999999,0.61,0.3298448065737999
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.38768477327021506
75% Corpus,9,0.9099999999999999,symmetric,0.3158932015373527
75% Corpus,9,symmetric,0.01,0.31724942595115535
75% Corpus,9,symmetric,0.31,0.33488943433425267
75% Corpus,9,symmetric,0.61,0.42898009931859066
75% Corpus,9,symmetric,0.9099999999999999,0.3778527361913139
75% Corpus,9,symmetric,symmetric,0.32820129283821275
75% Corpus,9,asymmetric,0.01,0.3689090949681043
75% Corpus,9,asymmetric,0.31,0.3760742339970842
75% Corpus,9,asymmetric,0.61,0.4502178847290445
75% Corpus,9,asymmetric,0.9099999999999999,0.4567395349222882
75% Corpus,9,asymmetric,symmetric,0.37720118776118944
75% Corpus,10,0.01,0.01,0.3413394367541683
75% Corpus,10,0.01,0.31,0.3959422393382083
75% Corpus,10,0.01,0.61,0.45082779878660517
75% Corpus,10,0.01,0.9099999999999999,0.37335540256717115
75% Corpus,10,0.01,symmetric,0.36863770652653266
75% Corpus,10,0.31,0.01,0.35244944445134907
75% Corpus,10,0.31,0.31,0.3464023579606823
75% Corpus,10,0.31,0.61,0.3733763269056691
75% Corpus,10,0.31,0.9099999999999999,0.43620549040332807
75% Corpus,10,0.31,symmetric,0.3344802204672827
75% Corpus,10,0.61,0.01,0.3340352139828654
75% Corpus,10,0.61,0.31,0.32362319264438655
75% Corpus,10,0.61,0.61,0.3547965885038151
75% Corpus,10,0.61,0.9099999999999999,0.4348139073469178
75% Corpus,10,0.61,symmetric,0.36120169780786254
75% Corpus,10,0.9099999999999999,0.01,0.3111715078974894
75% Corpus,10,0.9099999999999999,0.31,0.33427988231270817
75% Corpus,10,0.9099999999999999,0.61,0.3453644717857238
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.43397498784162625
75% Corpus,10,0.9099999999999999,symmetric,0.3148055620217132
75% Corpus,10,symmetric,0.01,0.32421626242773344
75% Corpus,10,symmetric,0.31,0.4035720817964094
75% Corpus,10,symmetric,0.61,0.4522469731567895
75% Corpus,10,symmetric,0.9099999999999999,0.3903929539490202
75% Corpus,10,symmetric,symmetric,0.3389211061542298
75% Corpus,10,asymmetric,0.01,0.33915470011287524
75% Corpus,10,asymmetric,0.31,0.42230810475329167
75% Corpus,10,asymmetric,0.61,0.4416429696244559
75% Corpus,10,asymmetric,0.9099999999999999,0.3955471399868462
75% Corpus,10,asymmetric,symmetric,0.37333090963646953
100% Corpus,2,0.01,0.01,0.2260237545969465
100% Corpus,2,0.01,0.31,0.22239565548769888
100% Corpus,2,0.01,0.61,0.20977590559131568
100% Corpus,2,0.01,0.9099999999999999,0.22911320380191044
100% Corpus,2,0.01,symmetric,0.21083327510133515
100% Corpus,2,0.31,0.01,0.23703757866725447
100% Corpus,2,0.31,0.31,0.234286173477648
100% Corpus,2,0.31,0.61,0.23502297377953013
100% Corpus,2,0.31,0.9099999999999999,0.22721086271099938
100% Corpus,2,0.31,symmetric,0.26844660111500984
100% Corpus,2,0.61,0.01,0.20158446339088698
100% Corpus,2,0.61,0.31,0.21120040349281016
100% Corpus,2,0.61,0.61,0.22689371355621116
100% Corpus,2,0.61,0.9099999999999999,0.25079955722563146
100% Corpus,2,0.61,symmetric,0.2454007396526653
100% Corpus,2,0.9099999999999999,0.01,0.21765213579863674
100% Corpus,2,0.9099999999999999,0.31,0.2490996048708798
100% Corpus,2,0.9099999999999999,0.61,0.2507995572256315
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.2388225464394072
100% Corpus,2,0.9099999999999999,symmetric,0.2383210182485493
100% Corpus,2,symmetric,0.01,0.2576348071312464
100% Corpus,2,symmetric,0.31,0.1866099358104758
100% Corpus,2,symmetric,0.61,0.2409224721932906
100% Corpus,2,symmetric,0.9099999999999999,0.2309130402650805
100% Corpus,2,symmetric,symmetric,0.2421530793627027
100% Corpus,2,asymmetric,0.01,0.24203537267521086
100% Corpus,2,asymmetric,0.31,0.2221689097231389
100% Corpus,2,asymmetric,0.61,0.2407694028864094
100% Corpus,2,asymmetric,0.9099999999999999,0.2550103840340576
100% Corpus,2,asymmetric,symmetric,0.22819868951773276
100% Corpus,3,0.01,0.01,0.2390710920814043
100% Corpus,3,0.01,0.31,0.2784241676290408
100% Corpus,3,0.01,0.61,0.2752409594886878
100% Corpus,3,0.01,0.9099999999999999,0.2880363583471408
100% Corpus,3,0.01,symmetric,0.30291047901167784
100% Corpus,3,0.31,0.01,0.23822429439064585
100% Corpus,3,0.31,0.31,0.2627784869112289
100% Corpus,3,0.31,0.61,0.304120021614151
100% Corpus,3,0.31,0.9099999999999999,0.273413528472736
100% Corpus,3,0.31,symmetric,0.2982515851228209
100% Corpus,3,0.61,0.01,0.30368316109114624
100% Corpus,3,0.61,0.31,0.2669434807269574
100% Corpus,3,0.61,0.61,0.29011983658647783
100% Corpus,3,0.61,0.9099999999999999,0.27209540736071364
100% Corpus,3,0.61,symmetric,0.24839103088326334
100% Corpus,3,0.9099999999999999,0.01,0.29741360865939614
100% Corpus,3,0.9099999999999999,0.31,0.272582641466158
100% Corpus,3,0.9099999999999999,0.61,0.263431309163787
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.30319237784919834
100% Corpus,3,0.9099999999999999,symmetric,0.2797630651141609
100% Corpus,3,symmetric,0.01,0.26198584334311575
100% Corpus,3,symmetric,0.31,0.26017962058489785
100% Corpus,3,symmetric,0.61,0.2949839986332448
100% Corpus,3,symmetric,0.9099999999999999,0.3128567890293056
100% Corpus,3,symmetric,symmetric,0.2504839888688934
100% Corpus,3,asymmetric,0.01,0.2879943567623635
100% Corpus,3,asymmetric,0.31,0.2945817301968537
100% Corpus,3,asymmetric,0.61,0.27547369928296866
100% Corpus,3,asymmetric,0.9099999999999999,0.2970205645741962
100% Corpus,3,asymmetric,symmetric,0.33594223678131385
100% Corpus,4,0.01,0.01,0.25738606844844886
100% Corpus,4,0.01,0.31,0.34068486364121764
100% Corpus,4,0.01,0.61,0.3339984094973119
100% Corpus,4,0.01,0.9099999999999999,0.33256039581363306
100% Corpus,4,0.01,symmetric,0.3418649080217414
100% Corpus,4,0.31,0.01,0.26534737655311946
100% Corpus,4,0.31,0.31,0.26530899151792287
100% Corpus,4,0.31,0.61,0.3792273175298694
100% Corpus,4,0.31,0.9099999999999999,0.3371031421468394
100% Corpus,4,0.31,symmetric,0.27433795846673686
100% Corpus,4,0.61,0.01,0.2594620677938666
100% Corpus,4,0.61,0.31,0.2787514223016282
100% Corpus,4,0.61,0.61,0.28584630192910687
100% Corpus,4,0.61,0.9099999999999999,0.2781164648173407
100% Corpus,4,0.61,symmetric,0.3059505417821987
100% Corpus,4,0.9099999999999999,0.01,0.2747427042786537
100% Corpus,4,0.9099999999999999,0.31,0.27277732984180797
100% Corpus,4,0.9099999999999999,0.61,0.32302395207066376
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.3299428422625522
100% Corpus,4,0.9099999999999999,symmetric,0.30656664494854835
100% Corpus,4,symmetric,0.01,0.24579704553128934
100% Corpus,4,symmetric,0.31,0.2775282711149317
100% Corpus,4,symmetric,0.61,0.3277077659251485
100% Corpus,4,symmetric,0.9099999999999999,0.2904337547844013
100% Corpus,4,symmetric,symmetric,0.2806382973155546
100% Corpus,4,asymmetric,0.01,0.2946009534516162
